"DOR Code","Municipality","Fiscal Year","Total Outstanding Debt (Schedule A Part 10)","Equalized Values (EQV)","Outstanding Debt as a % of EQV","Population","Outstanding Debt Per Capita","GF Debt Service (Schedule A Part 2)","Total Budget","Debt Service as a % of Budget"
"077","Douglas","2021","16,308,291","1,022,069,000","1.60%","8,954","1,821","2,517,480","32,794,836","7.68%"
"077","Douglas","2022","14,308,563","1,154,562,000","1.24%","9,038","1,583","2,535,950","34,857,307","7.28%"
"077","Douglas","2023","12,715,611","1,154,562,000","1.10%","8,983","1,416","2,047,725","36,072,079","5.68%"
"077","Douglas","2024","11,050,142","1,302,158,500","0.85%","9,049","1,221","2,048,273","37,249,160","5.50%"
"077","Douglas","2025","9,365,000","1,302,158,500","0.72%","9,153","1,023","2,003,002","41,548,412","4.82%"
"078","Dover","2021","3,885,000","2,646,446,400","0.15%","6,101","637","1,156,693","40,161,333","2.88%"
"078","Dover","2022","20,120,000","2,831,290,600","0.71%","6,127","3,284","948,079","41,722,384","2.27%"
"078","Dover","2023","18,450,000","2,831,290,600","0.65%","5,923","3,115","2,341,753","44,932,770","5.21%"
"078","Dover","2024","23,540,000","2,854,881,300","0.82%","5,892","3,995","1,842,375","46,130,805","3.99%"
"078","Dover","2025","","2,854,881,300","","5,860","","2,284,972","48,469,012","4.71%"
"079","Dracut","2021","67,890,014","3,647,155,100","1.86%","31,747","2,138","3,841,985","90,338,729","4.25%"
"079","Dracut","2022","63,014,959","4,153,988,500","1.52%","31,634","1,992","4,424,339","93,572,414","4.73%"
"079","Dracut","2023","56,587,538","4,153,988,500","1.36%","32,617","1,735","3,987,981","101,173,346","3.94%"
"079","Dracut","2024","50,541,866","4,790,569,000","1.06%","32,159","1,572","3,841,242","105,463,327","3.64%"
"079","Dracut","2025","44,767,035","4,790,569,000","0.93%","32,060","1,396","3,444,586","105,675,328","3.26%"
"080","Dudley","2021","8,255,001","1,016,192,300","0.81%","11,802","699","1,288,169","19,692,181","6.54%"
